iocterm,DnsEntryItem,-,RecordType,DNS Record Type
iocterm,DnsEntryItem,-,TimeToLive,DNS Time To Live
iocterm,DriverItem,-,CertificateIssuer,Driver Certificate Issuer
iocterm,DriverItem,-,CertificateSubject,Driver Certificate Subject
iocterm,DriverItem,DeviceItem,AttachedDeviceName,Driver Attached Device Name
iocterm,DriverItem,DeviceItem,AttachedDeviceObject,Driver Attached Device Object
iocterm,DriverItem,DeviceItem,AttachedDriverName,Driver Attached Driver Name
iocterm,DriverItem,DeviceItem,AttachedDriverObject,Driver Attached Driver Object
iocterm,DriverItem,DeviceItem,AttachedToDeviceName,Driver Attached To Device Name
iocterm,DriverItem,DeviceItem,AttachedToDeviceObject,Driver Attached To Device Object
iocterm,DriverItem,DeviceItem,AttachedToDriverName,Driver Attached To Driver Name
iocterm,DriverItem,DeviceItem,AttachedToDriverObject,Driver Attached To Driver Object
iocterm,DriverItem,DeviceItem,DeviceName,Driver Device Name
iocterm,DriverItem,DeviceItem,DeviceObject,Driver Device Object
iocterm,DriverItem,DeviceItem,DriverName,Driver Device Driver Name
iocterm,DriverItem,-,DriverInit,Driver Init
iocterm,DriverItem,-,DriverName,Driver Name
iocterm,DriverItem,-,DriverObjectAddress,Driver Object Address
iocterm,DriverItem,-,DriverStartIo,Driver StartIo
iocterm,DriverItem,-,DriverUnload,Driver Unload
iocterm,DriverItem,-,ImageBase,Driver Image Base
iocterm,DriverItem,-,ImageSize,Driver Image Size
iocterm,DriverItem,-,Md5sum,Driver Md5sum
iocterm,DriverItem,PEInfo,BaseAddress,Driver PEInfo Base Address
iocterm,DriverItem,PEInfo,DetectedAnomalies,Driver PEInfo Detected Anomalies
iocterm,DriverItem,PEInfo,DetectedEntryPointSignature,Driver PEInfo Detected Entry Point Signature Name
iocterm,DriverItem,PEInfo,DetectedEntryPointSignature,Driver PEInfo Detected Entry Point Signature Type
iocterm,DriverItem,PEInfo,DigitalSignature,Driver Certificate Issuer
iocterm,DriverItem,PEInfo,DigitalSignature,Driver Certificate Subject
iocterm,DriverItem,PEInfo,DigitalSignature,Driver Signature Description
iocterm,DriverItem,PEInfo,DigitalSignature,Driver Signature Exists
iocterm,DriverItem,PEInfo,DigitalSignature,Driver Signature Verified
iocterm,DriverItem,PEInfo,EpJumpCodes,Driver PEInfo EpJumpCodes Depth
iocterm,DriverItem,PEInfo,EpJumpCodes,Driver PEInfo EpJumpCodes Opcodes
iocterm,DriverItem,PEInfo,Exports,Driver Exported Function
iocterm,DriverItem,PEInfo,Exports,Driver Exports Time Stamp
iocterm,DriverItem,PEInfo,Exports,Driver Exports Dll Name
iocterm,DriverItem,PEInfo,Exports,Driver Number Of Functions
iocterm,DriverItem,PEInfo,Exports,Driver Number Of Names
iocterm,DriverItem,PEInfo,ExtraneousBytes,Driver PEInfo Extraneous Bytes
iocterm,DriverItem,PEInfo,ImportedModules,Driver Imported Function
iocterm,DriverItem,PEInfo,ImportedModules,Driver Imported Module Name
iocterm,DriverItem,PEInfo,PEChecksum,Driver PEInfo PEChecksum PEComputedAPI
iocterm,DriverItem,PEInfo,PEChecksum,Driver PEInfo PEChecksum PEFileAPI
iocterm,DriverItem,PEInfo,PEChecksum,Driver PEInfo PEChecksum PEFileRaw
iocterm,DriverItem,PEInfo,PETimeStamp,Driver PEInfo PETimeStamp
iocterm,DriverItem,PEInfo,Sections,Driver PEInfo Sections Section Detected Characteristics
